crop,model,kdd,delta_log_yield
floarea_soarelui,monotonic,22.011993692960885,-0.02358171806804538
floarea_soarelui,monotonic,23.21246038610425,-0.02358171806804538
floarea_soarelui,monotonic,24.41292707924762,-0.027945313538615273
floarea_soarelui,monotonic,25.61339377239099,-0.027945313538615273
floarea_soarelui,monotonic,26.813860465534354,-0.027945313538615273
floarea_soarelui,monotonic,28.014327158677723,-0.029664037194536568
floarea_soarelui,monotonic,29.214793851821092,-0.03290107441446905
floarea_soarelui,monotonic,30.41526054496446,-0.095222781980188
floarea_soarelui,monotonic,31.61572723810783,-0.095222781980188
floarea_soarelui,monotonic,32.8161939312512,-0.28520076371819053
floarea_soarelui,monotonic,34.01666062439456,-0.3553144453675805
floarea_soarelui,monotonic,35.21712731753793,-0.3553144453675805
floarea_soarelui,monotonic,36.4175940106813,-0.3585782393997828
floarea_soarelui,monotonic,37.61806070382467,-0.3585782393997828
floarea_soarelui,monotonic,38.81852739696804,-0.3585782393997828
floarea_soarelui,monotonic,40.018994090111406,-0.3585782393997828
floarea_soarelui,monotonic,41.219460783254775,-0.3585782393997828
floarea_soarelui,monotonic,42.41992747639814,-0.3585782393997828
floarea_soarelui,monotonic,43.62039416954151,-0.3585782393997828
floarea_soarelui,monotonic,44.820860862684874,-0.3585782393997828
floarea_soarelui,monotonic,46.02132755582824,-0.3585782393997828
floarea_soarelui,monotonic,47.22179424897161,-0.3585782393997828
griu,unconstrained,0.40359321638025786,0.0
griu,unconstrained,1.6040599095236259,0.008737907192741009
griu,unconstrained,2.804526602666994,0.010495263146160195
griu,unconstrained,4.004993295810362,0.011378230503486714
griu,unconstrained,5.20545998895373,0.018345176138192035
griu,unconstrained,6.405926682097098,0.016628383439136907
griu,unconstrained,7.606393375240466,0.017956767203422073
griu,unconstrained,8.806860068383834,0.01611954730708637
griu,unconstrained,10.007326761527203,0.015340094288291391
griu,unconstrained,11.207793454670572,0.0160404386648352
griu,unconstrained,12.40826014781394,0.01374283810042444
griu,unconstrained,13.608726840957306,0.018750050107237844
griu,unconstrained,14.809193534100675,0.018750050107237844
griu,unconstrained,16.009660227244044,0.017761291181583542
griu,unconstrained,17.21012692038741,0.015704241285259216
griu,unconstrained,18.41059361353078,0.013960225550952174
griu,unconstrained,19.611060306674148,0.013712837479860343
griu,unconstrained,20.811526999817517,0.013712837479860343
griu,unconstrained,22.011993692960885,0.014043295415235689
griu,unconstrained,23.21246038610425,0.014043295415235689
griu,unconstrained,24.41292707924762,0.013077305017238625
griu,unconstrained,25.61339377239099,0.013077305017238625
griu,unconstrained,26.813860465534354,0.011804249681537813
griu,unconstrained,28.014327158677723,0.011804249681537813
griu,unconstrained,29.214793851821092,0.011804249681537813
griu,unconstrained,30.41526054496446,-0.023367351782831728
griu,unconstrained,31.61572723810783,-0.023367351782831728
griu,unconstrained,32.8161939312512,-0.023367351782831728
griu,unconstrained,34.01666062439456,-0.09069930109769443
griu,unconstrained,35.21712731753793,-0.09069930109769443
griu,unconstrained,36.4175940106813,-0.09069930109769443
griu,unconstrained,37.61806070382467,-0.08210969737611674
griu,unconstrained,38.81852739696804,-0.08210969737611674
griu,unconstrained,40.018994090111406,-0.08210969737611674
griu,unconstrained,41.219460783254775,-0.08210969737611674
griu,unconstrained,42.41992747639814,-0.08210969737611674
griu,unconstrained,43.62039416954151,-0.08210969737611674
griu,unconstrained,44.820860862684874,-0.08210969737611674
griu,unconstrained,46.02132755582824,-0.08210969737611674
griu,unconstrained,47.22179424897161,-0.08210969737611674
griu,monotonic,0.40359321638025786,0.0
griu,monotonic,1.6040599095236259,-5.699698129234092e-05
